wallet,wallet_age_days,tx_count,tx_frequency,avg_tx_value,active_days,tx_per_day_mean,tx_per_day_std,consistency_ratio,max_tx_per_hour,max_tx_per_minute,unique_counterparties,stablecoin_tx_count,total_token_tx_count,stablecoin_tx_ratio
0x09804a3cc8f1fbc2463d8b5788c25c81a083e2d4,237,3,0.012658227848101266,4170634604491610.5,3,1.0,0.0,0.0,1,1,4,0,0,0.0
0x0cf0ee63788a0849fe5297f3407f701e122cc023,123,10000,81.30081300813008,0.0,46,217.3913043478261,424.34799546603097,1.9520007791437424,824,49,4721,0,107,0.0
0x205300d1d710f2cfd8c5caf853930e76359f4cca,1,2,2.0,31250000000000.0,1,2.0,0.0,0.0,2,1,3,0,0,0.0
0xb2bd0749dbe21f623d9baba856d3b0f0e1bfec9c,1739,6,0.0034502587694077054,0.0,6,1.0,0.0,0.0,1,1,7,0,0,0.0
0x42cb6cf5e3fe14df6aeb6b036b9a863390141ddf,1354,12,0.008862629246676515,4404583333333333.5,5,2.4,3.1304951684997055,1.3043729868748775,8,2,13,0,0,0.0
0xebff333cd36eebd4eb3128b5a03ba4c73a026309,69,7,0.10144927536231885,40585180975285.71,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,1,8,0,0,0.0
0x9a26be25ca0da8a7ff5dfbb1aebe587903c2b472,474,874,1.8438818565400843,1956090991958802.2,129,6.775193798449612,8.58345092867439,1.2668937869553734,17,2,272,6,2224,0.002697841726618705
0x582704821c9377a6d2d73bd55ba4b08d7fd60bc7,1,2,2.0,3.2001152e+19,1,2.0,0.0,0.0,2,1,3,0,0,0.0
0x881e22e8e2d319f5a068f42b0b65176c150540ec,257,16,0.0622568093385214,100000000000000.0,6,2.6666666666666665,2.0655911179772892,0.7745966692414835,6,3,11,0,1,0.0
0xc4345dc8dad0df0710d2210b9c7408f02693a440,3,9,3.0,23622828777777.777,2,4.5,4.949747468305833,1.0999438818457405,8,2,7,0,0,0.0
0x01791f726b4103694969820be083196cc7c045ff,29,10000,344.82758620689657,0.0,10,1000.0,3145.4176546560907,3.145417654656091,5065,274,7315,0,15,0.0
0x904567252d8f48555b7447c67dca23f0372e16be,26,10000,384.61538461538464,4275590907553.763,5,2000.0,4468.222857020451,2.2341114285102255,5225,317,7026,0,26,0.0
0xd8da6bf26964af9d7eed9e03e53415d37aa96045,3302,10000,3.0284675953967293,9.856349919200582e+18,879,11.376564277588168,174.73878440655838,15.359539149336483,3707,837,6334,40,10000,0.004
0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,27,10000,370.3703703703704,4638000000000.0,22,454.54545454545456,311.7924717733664,0.6859434379014061,262,18,6650,4,10000,0.0004
0x8c9ee32d657865c60b4fb08c66b5648e6c7febd7,167,15,0.08982035928143713,100000000000000.0,5,3.0,2.1213203435596424,0.7071067811865475,6,3,11,0,0,0.0
0xf81cc576aaee9f48f2b7ee30f6bdd3ae37211905,462,11,0.023809523809523808,1087797394767454.5,3,3.6666666666666665,4.618802153517007,1.2596733145955474,8,2,7,0,0,0.0
0xe8ccb4a1e36d60f76b83b3d554ed56b3e37095b9,1,2,2.0,1337.0,1,2.0,0.0,0.0,2,1,2,0,0,0.0
0x3f7b29967dc38586daf2652412fea6b15d4c217c,158,6,0.0379746835443038,353620900572666.7,2,3.0,2.8284271247461903,0.9428090415820635,4,1,5,0,0,0.0
0xb554fc5910cc3fb1df4879536d7e5d3cc1c79f97,1,2,2.0,3.2001152e+19,1,2.0,0.0,0.0,2,1,3,0,0,0.0
0xcfe9bbc138a1795017433eae0bb3f49ea6ef6e15,69,7,0.10144927536231885,37448714970571.43,4,1.75,0.9574271077563381,0.5471012044321932,3,3,8,0,0,0.0
0xae12c5930881c53715b369cec7606b70d8eb229f,434,10000,23.04147465437788,1400000000000.0,427,23.4192037470726,32.8994043116183,1.4048045641061013,177,47,2496,2,12,0.16666666666666666
0xeca9faa92f2ce33d1be62e73baf80f1aa75f4e8e,1,3,3.0,2.133484478298529e+19,2,1.5,0.7071067811865476,0.47140452079103173,2,1,3,0,0,0.0
0xd26114cd6ee289accf82350c8d8487fedb8a0c07,9,10000,1111.111111111111,100100000000000.0,10,1000.0,1151.6161590468319,1.151616159046832,1540,307,3084,2,1324,0.0015105740181268882
0x4c9811813d70f948518bbf88d0af44f16bd7e646,7,5,0.7142857142857143,5172460004338800.0,2,2.5,2.1213203435596424,0.8485281374238569,3,1,4,0,0,0.0
0x742d35cc6634c0532925a3b844bc9e7595f0beb7,1,1,1.0,1000000000.0,1,1.0,0.0,0.0,1,1,2,1,2,0.5
0xa9e2bb95f547a1eda2a6123bdbef4f647c7eca0c,69,8,0.11594202898550725,51379241924625.0,3,2.6666666666666665,2.886751345948129,1.0825317547305484,6,2,8,0,0,0.0
0x454b70c8b7b6567f04a2feac0fafeebbaeb9558c,69,6,0.08695652173913043,67482425068333.336,3,2.0,1.7320508075688772,0.8660254037844386,3,1,7,0,0,0.0
0x561046ba08ad9d9fea7b35381da6a52e7f16764f,1,2,2.0,3.2001152e+19,1,2.0,0.0,0.0,2,1,3,0,0,0.0
0xfd2b6fa73627a014f56c74f9e575052501da5fa9,69,8,0.11594202898550725,49546498126005.625,3,2.6666666666666665,2.886751345948129,1.0825317547305484,4,1,8,0,0,0.0
0x8aef39211bdafbce373917c389dc71614f749e90,100,10000,100.0,2.6511923683984497e+18,55,181.8181818181818,160.08656118084076,0.8804760864946242,237,134,2882,144,10000,0.0144
0xb131f4a55907b10d1f0a50d8ab8fa09ec342cd74,8,10000,1250.0,306874868071416.1,8,1250.0,3487.5208140699933,2.7900166512559945,4613,208,7808,3,10000,0.0003
0xe1f54c114bf5fcca3bddbc80ff0ac593297ac280,347,6,0.01729106628242075,3899066419715240.5,4,1.5,1.0,0.6666666666666666,3,1,7,0,1,0.0
0x58b6a8a3302369daec383334672404ee733ab239,282,10000,35.46099290780142,3160000000000.0,281,35.587188612099645,44.93320892005805,1.2626231706536313,233,99,5175,4,4887,0.0008184980560671168
0x3429d03c6f7521aec737a0bbf2e5ddcef2c3ae31,90,10000,111.11111111111111,14016758960181.84,60,166.66666666666666,146.73620590806408,0.8804172354483846,141,40,3687,1,1626,0.0006150061500615006
0xcee806fef799a9f2f1e7f28c52e5e0877651df9f,377,7,0.01856763925729443,3304967179866857.0,3,2.3333333333333335,2.3094010767585034,0.9897433186107871,5,2,8,0,0,0.0
0x3f5ce5fbfe3e9af3971dd833d26ba9b5c936f0be,11,10000,909.0909090909091,1.2806600314073856e+19,13,769.2307692307693,994.2005292232006,1.2924606879901608,603,130,3568,0,10000,0.0
0xda9d41b9bb3db8636750f01fc5b50b14e68af6b2,13,45,3.4615384615384617,815921248798109.0,8,5.625,4.779046527738113,0.8496082715978868,5,1,13,0,7,0.0
0xba4a458260591aec7cf2f5183a1b55ec3ad2eb34,69,6,0.08695652173913043,70896195057833.33,3,2.0,1.7320508075688772,0.8660254037844386,2,1,7,0,0,0.0
0x8f3de1d2e34c4f08b30e30cf950ee4689bec842b,442,278,0.6289592760180995,570686642506573.4,103,2.6990291262135924,2.6488434452006713,0.9814060246606803,11,3,57,94,247,0.3805668016194332
0x46f91b6c3c656c7d19e654c4d944420dd357828a,1,2,2.0,3.2001152e+19,1,2.0,0.0,0.0,2,1,3,0,0,0.0
0xe41d2489571d322189246dafa5ebde1f4699f498,5,10000,2000.0,7340344200000000.0,5,2000.0,3024.2879327206924,1.5121439663603462,626,54,4580,5,472,0.01059322033898305
0x52ac12480565555257a77c9f79f5b7ac770cfa09,615,843,1.3707317073170733,1.2125742982179858e+16,260,3.2423076923076923,3.1815919714079417,0.981273917634715,26,3,142,0,48,0.0
0xf70114fb5908a2da254a28a47f649db8fb2b6680,19,28,1.4736842105263157,2591607466326631.5,8,3.5,6.676183683170241,1.9074810523343546,6,3,15,2,4,0.5
0xce77e786cb1e2fe3cc6868b6ee88a63d2b285e2a,132,111,0.8409090909090909,1.15779659781191e+17,17,6.529411764705882,12.011024347754564,1.8395262514579063,12,3,27,23,47,0.48936170212765956
0x3d7c4c93a23ea09f7b73b83f29e06100f4d4fb75,1,4,4.0,286542868679644.5,2,2.0,1.4142135623730951,0.7071067811865476,3,2,4,2,8,0.25
0xd94fc0d7a45e03d736c47003b88ca55b1cd527ba,257,18,0.07003891050583658,88888911111111.11,5,3.6,3.714835124201342,1.0318986456114838,6,2,11,0,1,0.0
0x576bc19811bc9a651843166684d13463b5b8175c,212,10,0.04716981132075472,4023624611459416.0,3,3.3333333333333335,2.081665999466133,0.6244997998398399,5,1,9,0,0,0.0
